date,matchup,v1_pick,v1_probability,status_note,matchup_canonical,recorded_valid,v2_pick,v2_probability,actual_winner,correct,v1_correct,pick_changed,change_result
2026-07-17,LAD@NYY,NYY,0.616,recorded,LAD-NYY,True,NYY,0.5386,LAD,0,0,False,same_pick
2026-07-17,TEX@ATL,ATL,0.588,recorded,ATL-TEX,True,ATL,0.60133,ATL,1,1,False,same_pick
2026-07-17,CWS@TOR,TOR,0.603,recorded,CWS-TOR,True,CWS,0.57455,CWS,1,0,True,v2_improved
2026-07-17,MIA@MIL,MIL,0.578,recorded,MIA-MIL,True,MIL,0.5226999999999999,MIL,1,1,False,same_pick
2026-07-17,MIN@CHC,CHC,0.516,recorded,CHC-MIN,True,MIN,0.51281,MIN,1,0,True,v2_improved
2026-07-17,BAL@HOU,HOU,0.587,recorded,BAL-HOU,True,BAL,0.57519,BAL,1,0,True,v2_improved
2026-07-17,SD@KC,SD,0.539,recorded,KC-SD,True,SD,0.58029,KC,0,0,False,same_pick
2026-07-17,CIN@COL,COL,0.627,recorded,CIN-COL,True,COL,0.50385,CIN,0,0,False,same_pick
2026-07-17,DET@LAA,DET,0.602,recorded,DET-LAA,True,DET,0.66896,DET,1,1,False,same_pick
2026-07-17,WSH@ATH,ATH,0.555,recorded,ATH-WSH,True,WSH,0.58178,WSH,1,0,True,v2_improved
2026-07-17,STL@AZ,STL,0.598,recorded,AZ-STL,True,STL,0.5097400000000001,STL,1,1,False,same_pick
2026-07-17,SF@SEA,SEA,0.637,recorded,SEA-SF,True,SEA,0.58633,SF,0,0,False,same_pick
2026-07-18,TEX@ATL,ATL,0.59,recorded,ATL-TEX,True,ATL,0.60667,TEX,0,0,False,same_pick
2026-07-18,MIA@MIL,MIL,0.611,recorded,MIA-MIL,True,MIA,0.51702,MIL,0,1,True,v2_worse
2026-07-18,TB@BOS,TB,0.525,recorded,BOS-TB,True,BOS,0.64818,BOS,1,0,True,v2_improved
2026-07-18,SF@SEA,SEA,0.607,recorded,SEA-SF,True,SF,0.5082800000000001,SEA,0,1,True,v2_worse
2026-07-18,BAL@HOU,HOU,0.515,recorded,BAL-HOU,True,BAL,0.57044,BAL,1,0,True,v2_improved
2026-07-18,SD@KC,SD,0.515,recorded,KC-SD,True,SD,0.51159,KC,0,0,False,same_pick
2026-07-18,DET@LAA,DET,0.643,recorded,DET-LAA,True,DET,0.67131,DET,1,1,False,same_pick
2026-07-18,STL@AZ,AZ,0.522,recorded,AZ-STL,True,AZ,0.58024,AZ,1,1,False,same_pick
2026-07-18,WSH@ATH,WSH,0.51,recorded,ATH-WSH,True,WSH,0.61251,ATH,0,0,False,same_pick
2026-07-19,CWS@TOR,CWS,0.542,recorded,CWS-TOR,True,CWS,0.62659,CWS,1,1,False,same_pick
2026-07-19,TEX@ATL,ATL,0.636,recorded,ATL-TEX,True,ATL,0.59698,ATL,1,1,False,same_pick
2026-07-19,NYM@PHI,PHI,0.61,recorded,NYM-PHI,True,NYM,0.56224,NYM,1,0,True,v2_improved
2026-07-19,TB@BOS,BOS,0.521,recorded,BOS-TB,True,BOS,0.67013,BOS,1,1,False,same_pick
2026-07-19,PIT@CLE,CLE,0.506,recorded,CLE-PIT,True,PIT,0.5094000000000001,PIT,1,0,True,v2_improved
2026-07-19,MIA@MIL,MIL,0.613,recorded,MIA-MIL,True,MIL,0.50768,MIL,1,1,False,same_pick
2026-07-19,BAL@HOU,HOU,0.504,recorded,BAL-HOU,True,BAL,0.60797,BAL,1,0,True,v2_improved
2026-07-19,SD@KC,SD,0.525,recorded,KC-SD,True,SD,0.5194799999999999,SD,1,1,False,same_pick
2026-07-19,MIN@CHC,CHC,0.603,recorded,CHC-MIN,True,MIN,0.50778,CHC,0,1,True,v2_worse
2026-07-19,CIN@COL,COL,0.51,recorded,CIN-COL,True,CIN,0.54933,CIN,1,0,True,v2_improved
2026-07-19,WSH@ATH,WSH,0.607,recorded,ATH-WSH,True,WSH,0.62374,WSH,1,1,False,same_pick
2026-07-19,DET@LAA,DET,0.591,recorded,DET-LAA,True,DET,0.68977,LAA,0,0,False,same_pick
2026-07-19,SF@SEA,SEA,0.603,recorded,SEA-SF,True,SEA,0.50852,SEA,1,1,False,same_pick
2026-07-19,STL@AZ,AZ,0.542,recorded,AZ-STL,True,AZ,0.60689,AZ,1,1,False,same_pick
