date,team_a,team_b,matchup_canonical,v2_pick,v2_probability,team_a_probability,score_sim_team_a_probability,model_votes_team_a,model_count,actual_winner,correct,simulations,p_logistic,p_random_forest,p_neural_network,p_elo_pyth,p_xgboost,p_lightgbm,p_catboost
2026-07-17,ATH,WSH,ATH-WSH,WSH,0.58178,0.41822,0.15126,4,7,WSH,1,100000,0.4404959194165541,0.5490887978052625,0.3738762362205978,0.37434162288574035,0.6061564683914185,0.6045692239676331,0.5822211103852848
2026-07-17,ATL,TEX,ATL-TEX,ATL,0.60133,0.60133,0.67747,6,7,ATL,1,100000,0.7493162512215241,0.5445876292163032,0.45192814779556884,0.5601641529800445,0.5942628979682922,0.6512650474810898,0.5486287921451138
2026-07-17,AZ,STL,AZ-STL,STL,0.5097400000000001,0.49026,0.51133,2,7,STL,1,100000,0.3626711988784291,0.42663278282064016,0.5130501312963291,0.5212309094058366,0.36713042855262756,0.2905057281661021,0.4474111271286054
2026-07-17,BAL,HOU,BAL-HOU,BAL,0.57519,0.57519,0.81775,1,7,BAL,1,100000,0.45610886264161327,0.45773224407224605,0.4652286394459196,0.5612083039156086,0.42340242862701416,0.4002994742869687,0.4280533959791751
2026-07-17,CHC,MIN,CHC-MIN,MIN,0.51281,0.48719,0.34848,1,7,MIN,1,100000,0.4520400957898139,0.4295021286099773,0.46059062853148675,0.551314638929819,0.32373279333114624,0.31432838755478215,0.44172969024755987
2026-07-17,CIN,COL,CIN-COL,COL,0.50385,0.49615,0.48784,1,7,CIN,0,100000,0.3710642772729658,0.4739646566247387,0.48049513728205917,0.5281984553433278,0.4269348382949829,0.3956894958141889,0.4332173261337645
2026-07-17,CWS,TOR,CWS-TOR,CWS,0.57455,0.57455,0.64076,3,7,CWS,1,100000,0.6418985433827331,0.4958281962533032,0.5142872600949462,0.600138495877002,0.48628291487693787,0.4989898094112998,0.48947117181461197
2026-07-17,DET,LAA,DET-LAA,DET,0.66896,0.66896,0.81622,7,7,DET,1,100000,0.6622974136656083,0.5540040347344563,0.5455560758028739,0.6207069662004923,0.5906973481178284,0.6624938341940869,0.622511078414138
2026-07-17,KC,SD,KC-SD,SD,0.58029,0.41971,0.43887,3,7,KC,0,100000,0.5791101628486715,0.5020361146993599,0.35955975427585224,0.38171219880833046,0.5171078443527222,0.49854311395931156,0.4889486365959816
2026-07-17,LAD,NYY,LAD-NYY,NYY,0.5386,0.4614,0.3484,1,7,LAD,0,100000,0.4149391423670782,0.46598210678046836,0.4374920978513709,0.49986549411324654,0.4870651364326477,0.590102499958388,0.4609797090693376
2026-07-17,MIA,MIL,MIA-MIL,MIL,0.5226999999999999,0.4773,0.59241,2,7,MIL,1,100000,0.4987508983515007,0.5261744465907723,0.465702785986531,0.4168422524434449,0.5370073318481445,0.4894608306934302,0.4917576685989607
2026-07-17,SEA,SF,SEA-SF,SEA,0.58633,0.58633,0.64346,6,7,SF,0,100000,0.556512741075418,0.5286715918998678,0.48147906899756443,0.5311563831844321,0.5498951077461243,0.6024039707762051,0.5391415784734315
2026-07-18,ATH,WSH,ATH-WSH,WSH,0.61251,0.38749,0.12946,6,7,ATH,0,100000,0.5880868875438945,0.5769852506703721,0.6395174184232729,0.33182593910297203,0.6880602836608887,0.6525770780531068,0.5639004397495762
2026-07-18,ATL,TEX,ATL-TEX,ATL,0.60667,0.60667,0.7358,6,7,TEX,0,100000,0.58190297688384,0.5202268570226634,0.5155800720602772,0.6161090003511138,0.5411416292190552,0.43601331324101145,0.5052747719793256
2026-07-18,AZ,STL,AZ-STL,AZ,0.58024,0.58024,0.7168,1,7,AZ,1,100000,0.4527734646927432,0.47385644636917595,0.4774380288746085,0.4760130533641968,0.4660148322582245,0.5040593106073732,0.49153069258148196
2026-07-18,BAL,HOU,BAL-HOU,BAL,0.57044,0.57044,0.73536,2,7,BAL,1,100000,0.4380083087936882,0.4958500920584061,0.5801660401366233,0.5895067674294274,0.4264203608036041,0.44252641569827883,0.43578490016122057
2026-07-18,BOS,TB,BOS-TB,BOS,0.64818,0.64818,0.94874,7,7,BOS,1,100000,0.6269051407128162,0.5111205934756482,0.557021004591446,0.5652099919910445,0.5364322066307068,0.5078090819612956,0.5392556111206114
2026-07-18,CHC,MIN,CHC-MIN,MIN,0.5642,0.4358,0.16744,1,7,CHC,0,100000,0.24538057783514097,0.4399981290897646,0.37392202847747896,0.5107122099503266,0.37670671939849854,0.30079186316463763,0.39586117207744204
2026-07-18,CIN,COL,CIN-COL,CIN,0.54126,0.54126,0.68657,1,7,COL,0,100000,0.335470434446234,0.43598595166216275,0.41366640463269366,0.5706467544325207,0.40287941694259644,0.42272838544351315,0.40771049018406497
2026-07-18,CWS,TOR,CWS-TOR,CWS,0.67797,0.67797,0.8661,7,7,TOR,0,100000,0.6529368047134865,0.5919193776696717,0.5981663262644558,0.6364490023434914,0.638708770275116,0.588787807499675,0.5559119094092595
